Food Type,Name,Opening Hours,Google Maps Link
Chicken Rice,Tong Seng Hainanese Chicken Rice,Mon 08:00-19:30; Tue 08:00-19:30; Wed 08:00-19:30; Thu Closed; Fri 08:00-19:30; Sat 08:00-19:30; Sun 08:00-19:30,"https://www.google.com/maps/place/Tong+Seng+Hainanese+Chicken+Rice/@5.4157265,100.3291345,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac396713e01bf:0x1ba7ec9a3a70391e!8m2!3d5.4157265!4d100.3291345!16s/g/11clwnpm37?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,伍秀澤海南雞飯,Mon 10:00-16:00; Tue 10:00-16:00; Wed Closed; Thu 10:00-16:00; Fri 10:00-16:00; Sat 11:00-16:00; Sun 11:00-16:00,"https://www.google.com/maps/place/伍秀澤海南雞飯/@5.4188819,100.3355157,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac390f3929a09:0x5a67b9793606f3ab!8m2!3d5.4188819!4d100.3355157!16s/g/1tt95_dl?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
Nasi Lemak,Wakzee Nasi Lemak,Mon 06:30-14:30; Tue 06:30-14:30; Wed 06:30-14:30; Thu 06:30-14:30; Fri 06:30-14:30; Sat 06:30-13:30; Sun Closed,"https://www.google.com/maps/place/Wakzee+Nasi+Lemak/@5.4157749,100.3248893,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3098fc2e45d:0xadf9b016f34097fe!8m2!3d5.4157749!4d100.3248893!16s/g/11ny1g5vyq?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,阿里香蕉葉椰漿飯,Mon 07:00-14:00; Tue 07:00-14:00; Wed Unknown; Thu 07:00-14:00; Fri 07:00-14:00; Sat 07:00-13:00; Sun Closed,"https://www.google.com/maps/place/阿里香蕉葉椰漿飯/@5.4177784,100.3428337,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac38f20475047:0x581b026492407d2e!8m2!3d5.4177784!4d100.3428337!16s/g/12qg5ssjf?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
Curry Mee,Duck Blood Curry Mee,Mon 12:00-22:00; Tue 12:00-22:00; Wed 12:00-22:00; Thu Closed; Fri 12:00-22:00; Sat 12:00-22:00; Sun 12:00-22:00,"https://www.google.com/maps/place/Duck+Blood+Curry+Mee/@5.4237731,100.3210219,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3ff401db365:0xb115d0b942a7f9b3!8m2!3d5.4237731!4d100.3210219!16s/g/11fzfbt3g9?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,暹羅姐妹咖哩麵,Mon 06:00-11:00; Tue Closed; Wed 06:00-11:00; Thu 06:00-11:00; Fri 06:00-11:00; Sat 06:00-11:00; Sun 06:00-11:00,"https://www.google.com/maps/place/暹羅姐妹咖哩麵/@5.4003795,100.2782759,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac219e7349d11:0x828fa91f3eacc6bf!8m2!3d5.4003795!4d100.2782759!16s/g/11b6ht381j?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,好特波,Mon Closed; Tue 08:00-14:30; Wed 08:00-14:30; Thu 08:00-14:30; Fri 08:00-14:30; Sat 08:00-14:30; Sun 08:00-14:30,"https://www.google.com/maps/place/好特波/@5.4179507,100.3244907,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3bdaa82c403:0xaf83edb6a99c95e4!8m2!3d5.4179507!4d100.3244907!16s/g/11b7l4ct6t?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
肉骨茶,How Bak Kut Teh 豪肉骨茶,Mon 17:00-23:00; Tue 17:00-22:00; Wed Closed; Thu 17:00-23:00; Fri 17:00-23:00; Sat 17:00-23:00; Sun 16:30-23:00,"https://www.google.com/maps/place/How+Bak+Kut+Teh+豪+肉骨茶/@5.4138941,100.3160526,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3bed81b6ba3:0xb61910b532bf2add!8m2!3d5.4138941!4d100.3160526!16s/g/11cky01nps?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
,焜巴生肉骨茶,Mon 11:00-21:30; Tue 11:00-21:30; Wed 11:00-21:30; Thu 11:00-21:30; Fri Closed; Sat 11:00-21:30; Sun 11:00-21:30,"https://www.google.com/maps/place/焜巴生肉骨茶/@5.4006465,100.3146439,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3cfe62abad9:0x5547cd7c19496fb4!8m2!3d5.4006465!4d100.3146439!16s/g/11cm9_rwxt?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
Hawker Centre / Market,Chulia Street Hawker Food,Mon 16:00-00:00; Tue 16:00-00:00; Wed 16:00-00:00; Thu 16:00-00:00; Fri 16:00-00:00; Sat 16:00-00:00; Sun 16:00-00:00,"https://www.google.com/maps/place/Chulia+Street+Hawker+Food/@5.4181458,100.3362829,17z/data=!3m1!4b1!4m6!3m5!1s0x304ac3904b1d7b37:0xd6f5c65a3d16a52!8m2!3d5.4181458!4d100.3362829!16s/g/1pzw4vzxb?entry=ttu&g_ep=EgoyMDI2MDUwNi4wIKXMDSoASAFQAw=="
